City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3443061,Chui,UY,-33.6971,-53.4616,58.64,94,86,14.9
3366880,Hermanus,ZA,-34.4187,19.2345,52.02,66,9,5.86
3833367,Ushuaia,AR,-54.8,-68.3,42.46,87,90,9.22
3412093,Vestmannaeyjar,IS,63.4427,-20.2734,49.12,73,100,13.98
2110227,Butaritari,KI,3.0707,172.7902,82.98,71,86,15.03
1282256,Hithadhoo,MV,-0.6,73.0833,83.17,73,83,11.56
609919,Quryq,KZ,43.2,51.65,71.19,33,100,15.48
5122534,Jamestown,US,42.097,-79.2353,73.31,78,20,6.91
3418910,Upernavik,GL,72.7868,-56.1549,26.94,78,97,5.23
5969025,Haines Junction,CA,60.7522,-137.5108,42.75,93,100,1.14
2123814,Leningradskiy,RU,69.3833,178.4167,25.63,82,99,10.78
2093846,Kiunga,PG,-6.1219,141.2906,74.98,97,100,2.46
2206939,Bluff,NZ,-46.6,168.3333,48.38,84,100,11.48
2138555,Poum,NC,-20.2333,164.0167,72.52,65,89,19.71
2013279,Vostok,RU,46.4856,135.8833,46.96,97,100,2.98
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,90,9.22
1633419,Padang,ID,-0.9492,100.3543,73.45,88,72,3.71
5563397,Eureka,US,40.8021,-124.1637,70.41,65,2,7.72
4035715,Avarua,CK,-21.2078,-159.775,78.85,73,90,11.5
3466704,Castro,BR,-24.7911,-50.0119,74.82,48,58,2.01
1015776,Bredasdorp,ZA,-34.5322,20.0403,47.52,76,5,6.91
1651103,Atambua,ID,-9.1061,124.8925,75.2,63,79,4.45
1649150,Bengkulu,ID,-3.8004,102.2655,76.03,88,96,2.35
2156643,Mount Gambier,AU,-37.8333,140.7667,50.45,61,90,11.05
1853174,Sakaiminato,JP,35.55,133.2333,76.98,65,20,3.44
3893726,Constitución,CL,-35.3333,-72.4167,52.41,76,0,12.26
2449893,Tessalit,ML,20.1986,1.0114,91.13,10,0,8.84
3874787,Punta Arenas,CL,-53.15,-70.9167,51.91,66,75,24.16
2071860,Esperance,AU,-33.8667,121.9,47.77,81,10,13.22
6185377,Yellowknife,CA,62.456,-114.3525,48.72,76,75,6.91
2214432,Nālūt,LY,30.3333,10.85,82.76,18,0,6.91
964432,Port Alfred,ZA,-33.5906,26.891,56.61,66,20,28.05
3466165,Cidreira,BR,-30.1811,-50.2056,66.42,98,75,3.83
5847411,Kahului,US,20.8947,-156.47,87.82,42,40,23.02
2163355,Hobart,AU,-42.8794,147.3294,49.86,50,40,11.5
4957320,Bar Harbor,US,44.3876,-68.2039,57.34,82,1,5.75
2409914,Bonthe,SL,7.5264,-12.505,78.08,86,100,5.23
4030556,Rikitea,PF,-23.1203,-134.9692,74.01,77,6,13.53
286621,Salalah,OM,17.0151,54.0924,80.69,89,75,4.61
615943,Agara,GE,42.0376,43.8238,58.05,75,0,3.85
3361934,Saldanha,ZA,-33.0117,17.9442,44.65,66,0,17.92
2075265,Busselton,AU,-33.65,115.3333,51.51,64,0,9.42
4013679,Coahuayana Viejo,MX,18.7333,-103.6833,87.28,73,35,3.89
6089245,Norman Wells,CA,65.282,-126.8329,57.24,44,75,14.97
5855927,Hilo,US,19.7297,-155.09,82.13,65,75,8.05
4032243,Vaini,TO,-21.2,-175.2,69.96,94,75,11.5
5106841,Albany,US,42.6001,-73.9662,64.67,78,34,4.41
3393536,Olinda,BR,-8.0089,-34.8553,76.73,61,0,6.91
1492607,Severnoye,RU,56.3491,78.3619,38.48,98,100,7.85
3831208,Qaanaaq,GL,77.484,-69.3632,13.6,72,88,8.72
3374083,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,11.5
3361142,Springbok,ZA,-29.6643,17.8865,44.06,78,8,8.16
3533462,Acapulco de Juárez,MX,16.8634,-99.8901,85.82,70,40,8.05
2191562,Dunedin,NZ,-45.8742,170.5036,55.83,64,100,9.19
6144312,Sept-Îles,CA,50.2001,-66.3821,52.32,93,75,4.61
3939761,Hualmay,PE,-11.0964,-77.6139,63.01,77,16,11.12
2511239,San Roque,ES,36.2107,-5.3842,68.83,94,75,4.61
1106677,Bambous Virieux,MU,-20.3428,57.7575,68.25,68,20,13.8
286245,Sur,OM,22.5667,59.5289,84.33,67,1,9.51
3883457,Lebu,CL,-37.6167,-73.65,50.38,84,0,21.21
5880054,Barrow,US,71.2906,-156.7887,33.82,64,75,11.5
3654410,Manta,EC,-0.95,-80.7333,73.18,83,75,14.97
4031574,Provideniya,RU,64.3833,-173.3,33.91,75,90,4.47
2127202,Anadyr,RU,64.75,177.4833,34.3,100,75,11.18
3545841,Nuevitas,CU,21.5453,-77.2644,85.44,76,0,11.01
